"time", "BouncingBall.h", "BouncingBall.v", "BouncingBall.der(h)", "BouncingBall.der(v)", "BouncingBall.ground"
0, 1, 0, 0, -9.81, 0
0.01, 0.99955855, -0.0981, -0.0981, -9.81, 0
0.01, 0.99955855, -0.0981, -0.0981, -9.81, 0
0.02, 0.9981361, -0.1962, -0.1962, -9.81, 0
0.02, 0.9981361, -0.1962, -0.1962, -9.81, 0
0.03, 0.99573265, -0.2943, -0.2943, -9.81, 0
0.03, 0.99573265, -0.2943, -0.2943, -9.81, 0
0.04, 0.9923482, -0.3924, -0.3924, -9.81, 0
0.04, 0.9923482, -0.3924, -0.3924, -9.81, 0
0.05, 0.98798275, -0.4905, -0.4905, -9.81, 0
0.05, 0.98798275, -0.4905, -0.4905, -9.81, 0
0.06, 0.9826363, -0.5886, -0.5886, -9.81, 0
0.06, 0.9826363, -0.5886, -0.5886, -9.81, 0
0.07, 0.97630885, -0.6867, -0.6867, -9.81, 0
0.07, 0.97630885, -0.6867, -0.6867, -9.81, 0
0.08, 0.9690004, -0.7848, -0.7848, -9.81, 0
0.08, 0.9690004, -0.7848, -0.7848, -9.81, 0
0.09, 0.96071095, -0.8829, -0.8829, -9.81, 0
0.09, 0.96071095, -0.8829, -0.8829, -9.81, 0
0.1, 0.9514405, -0.981, -0.981, -9.81, 0
0.1, 0.9514405, -0.981, -0.981, -9.81, 0
0.11, 0.94118905, -1.0791, -1.0791, -9.81, 0
0.11, 0.94118905, -1.0791, -1.0791, -9.81, 0
0.12, 0.9299566, -1.1772, -1.1772, -9.81, 0
0.12, 0.9299566, -1.1772, -1.1772, -9.81, 0
0.13, 0.91774315, -1.2753, -1.2753, -9.81, 0
0.13, 0.91774315, -1.2753, -1.2753, -9.81, 0
0.14, 0.9045487, -1.3734, -1.3734, -9.81, 0
0.14, 0.9045487, -1.3734, -1.3734, -9.81, 0
0.15, 0.89037325, -1.4715, -1.4715, -9.81, 0
0.15, 0.89037325, -1.4715, -1.4715, -9.81, 0
0.16, 0.8752168, -1.5696, -1.5696, -9.81, 0
0.16, 0.8752168, -1.5696, -1.5696, -9.81, 0
0.17, 0.85907935, -1.6677, -1.6677, -9.81, 0
0.17, 0.85907935, -1.6677, -1.6677, -9.81, 0
0.18, 0.8419609, -1.7658, -1.7658, -9.81, 0
0.18, 0.8419609, -1.7658, -1.7658, -9.81, 0
0.19, 0.82386145, -1.8639, -1.8639, -9.81, 0
0.19, 0.82386145, -1.8639, -1.8639, -9.81, 0
0.2, 0.804781, -1.962, -1.962, -9.81, 0
0.2, 0.804781, -1.962, -1.962, -9.81, 0
0.21, 0.78471955, -2.0601, -2.0601, -9.81, 0
